iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
249,0.07536411,305.25922,153.3649,100,0.1,55.0,3,25000,13934,2.346
250,0.07536411,305.25922,153.3649,100,0.1,55.0,3,25100,13934,2.346
251,0.07536411,305.25922,153.3649,100,0.1,55.0,3,25200,13934,2.346
252,0.07536411,305.25922,153.3649,100,0.1,55.0,3,25300,13934,2.346
253,0.07536411,305.25922,153.3649,100,0.1,55.0,3,25400,13934,2.346
254,0.07536411,305.25922,153.3649,100,0.1,55.0,3,25500,13934,2.346
255,0.07536411,305.25922,153.3649,100,0.1,55.0,3,25600,13934,2.346
256,0.07536411,305.25922,153.3649,100,0.1,55.0,3,25700,13934,2.346
257,0.07536411,305.25922,153.3649,100,0.1,55.0,3,25800,13934,2.346
258,0.07536411,305.25922,153.3649,100,0.1,55.0,3,25900,13934,2.346
259,0.07536411,305.25922,153.3649,100,0.1,55.0,3,26000,13934,2.346
260,0.07536411,305.25922,153.3649,100,0.1,55.0,3,26100,13934,2.346
261,0.07536411,305.25922,153.3649,100,0.1,55.0,3,26200,13934,2.346
262,0.07536411,305.25922,153.3649,100,0.1,55.0,3,26300,13934,2.346
263,0.07536411,305.25922,153.3649,100,0.1,55.0,3,26400,13934,2.346
264,0.07536411,305.25922,153.3649,100,0.1,55.0,3,26500,13934,2.346
265,0.07536411,305.25922,153.3649,100,0.1,55.0,3,26600,13934,2.346
266,0.07536411,305.25922,153.3649,100,0.1,55.0,3,26700,13934,2.346
267,0.07536411,305.25922,153.3649,100,0.1,55.0,3,26800,13934,2.346
268,0.07536411,305.25922,153.3649,100,0.1,55.0,3,26900,13934,2.346
269,0.07536411,305.25922,153.3649,100,0.1,55.0,3,27000,13934,2.346
270,0.07536411,305.25922,153.3649,100,0.1,55.0,3,27100,13934,2.346
271,0.07536411,305.25922,153.3649,100,0.1,55.0,3,27200,13934,2.346
272,0.07536411,305.25922,153.3649,100,0.1,55.0,3,27300,13934,2.346
273,0.07536411,305.25922,153.3649,100,0.1,55.0,3,27400,13934,2.346
274,0.07536411,305.25922,153.3649,100,0.1,55.0,3,27500,13934,2.346
275,0.07536411,305.25922,153.3649,100,0.1,55.0,3,27600,13934,2.346
276,0.07536411,305.25922,153.3649,100,0.1,55.0,3,27700,13934,2.346
277,0.07536411,305.25922,153.3649,100,0.1,55.0,3,27800,13934,2.346
278,0.07536411,305.25922,153.3649,100,0.1,55.0,3,27900,13934,2.346
279,0.07536411,305.25922,153.3649,100,0.1,55.0,3,28000,13934,2.346
280,0.07536411,305.25922,153.3649,100,0.1,55.0,3,28100,13934,2.346
281,0.07536411,305.25922,153.3649,100,0.1,55.0,3,28200,13934,2.346
282,0.07536411,305.25922,153.3649,100,0.1,55.0,3,28300,13934,2.346
283,0.07536411,305.25922,153.3649,100,0.1,55.0,3,28400,13934,2.346
284,0.07536411,305.25922,153.3649,100,0.1,55.0,3,28500,13934,2.346
285,0.07536411,305.25922,153.3649,100,0.1,55.0,3,28600,13934,2.346
286,0.07536411,305.25922,153.3649,100,0.1,55.0,3,28700,13934,2.346
287,0.07536411,305.25922,153.3649,100,0.1,55.0,3,28800,13934,2.346
288,0.07536411,305.25922,153.3649,100,0.1,55.0,3,28900,13934,2.346
289,0.07536411,305.25922,153.3649,100,0.1,55.0,3,29000,13934,2.346
290,0.07536411,305.25922,153.3649,100,0.1,55.0,3,29100,13934,2.346
291,0.07536411,305.25922,153.3649,100,0.1,55.0,3,29200,13934,2.346
292,0.07536411,305.25922,153.3649,100,0.1,55.0,3,29300,13934,2.346
293,0.07536411,305.25922,153.3649,100,0.1,55.0,3,29400,13934,2.346
294,0.07536411,305.25922,153.3649,100,0.1,55.0,3,29500,13934,2.346
295,0.07536411,305.25922,153.3649,100,0.1,55.0,3,29600,13934,2.346
296,0.07536411,305.25922,153.3649,100,0.1,55.0,3,29700,13934,2.346
297,0.07536411,305.25922,153.3649,100,0.1,55.0,3,29800,13934,2.346
298,0.07536411,305.25922,153.3649,100,0.1,55.0,3,29900,13934,2.346
299,0.07536411,305.25922,153.3649,100,0.1,55.0,3,30000,13934,2.346
300,0.07536411,305.25922,153.3649,100,0.1,55.0,3,30100,13934,2.346
301,0.07536411,305.25922,153.3649,100,0.1,55.0,3,30200,13934,2.346
302,0.07536411,305.25922,153.3649,100,0.1,55.0,3,30300,13934,2.346
303,0.07536411,305.25922,153.3649,100,0.1,55.0,3,30400,13934,2.346
304,0.07536411,305.25922,153.3649,100,0.1,55.0,3,30500,13934,2.346
305,0.07536411,305.25922,153.3649,100,0.1,55.0,3,30600,13934,2.346
306,0.07536411,305.25922,153.3649,100,0.1,55.0,3,30700,13934,2.346
307,0.07536411,305.25922,153.3649,100,0.1,55.0,3,30800,13934,2.346
308,0.07536411,305.25922,153.3649,100,0.1,55.0,3,30900,13934,2.346
309,0.07536411,305.25922,153.3649,100,0.1,55.0,3,31000,13934,2.346
