iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
281,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,28200,770,0.12
282,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,28300,770,0.12
283,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,28400,770,0.12
284,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,28500,770,0.12
285,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,28600,770,0.12
286,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,28700,770,0.12
287,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,28800,770,0.12
288,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,28900,770,0.12
289,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,29000,770,0.12
290,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,29100,770,0.12
291,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,29200,770,0.12
292,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,29300,770,0.12
293,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,29400,770,0.12
294,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,29500,770,0.12
295,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,29600,770,0.12
296,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,29700,770,0.12
297,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,29800,770,0.12
298,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,29900,770,0.12
299,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,30000,770,0.12
300,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,30100,770,0.12
301,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,30200,770,0.12
302,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,30300,770,0.12
303,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,30400,770,0.12
304,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,30500,770,0.12
305,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,30600,770,0.12
306,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,30700,770,0.12
307,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,30800,770,0.12
308,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,30900,770,0.12
309,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,31000,770,0.12
310,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,31100,770,0.12
311,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,31200,770,0.12
312,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,31300,770,0.12
313,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,31400,770,0.12
314,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,31500,770,0.12
315,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,31600,770,0.12
316,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,31700,770,0.12
317,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,31800,770,0.12
318,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,31900,770,0.12
319,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,32000,770,0.12
320,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,32100,770,0.12
321,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,32200,770,0.12
322,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,32300,770,0.12
323,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,32400,770,0.12
324,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,32500,770,0.12
325,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,32600,770,0.12
326,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,32700,770,0.12
327,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,32800,770,0.12
328,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,32900,770,0.12
329,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,33000,770,0.12
330,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,33100,770,0.12
331,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,33200,770,0.12
332,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,33300,770,0.12
333,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,33400,770,0.12
334,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,33500,770,0.12
335,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,33600,770,0.12
336,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,33700,770,0.12
337,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,33800,770,0.12
338,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,33900,770,0.12
339,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,34000,770,0.12
340,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,34100,770,0.12
